ticker,expense_ratio,dividend_yield,aum,avg_volume
AGG,0.0,3.93,138.69817856,10633030
ARKK,0.75,0.0,6482466816.0,10039438
BND,0.0,3.91,387.46161152,9315545
BNDX,0.08,0.0447,117950480384.0,5030396
CIBR,0.6,0.61,10193096704.0,1686101
DVY,0.38,0.0338,22856642560.0,433943
EEM,0.0,2.16,24.905633792,44912838
EFA,0.0,3.35,71.451205632,23671790
EMB,0.39,0.0506,14508038144.0,10151693
ESGD,0.2,0.0339,11318572032.0,362916
ESGU,0.0,1.07,14.820304896,665208
ESGV,0.17,0.9,12474566656.0,234377
EWG,0.5,0.0161,1447307008.0,2357200
EWJ,0.5,0.0408,20975747072.0,9116382
EWZ,0.57,0.0416,11568207872.0,33599193
FXI,0.74,0.0252,6069856768.0,31986683
GLD,0.0,0.0,155.110817792,17966804
HDV,0.08,0.0288,13571432448.0,3527767
HYG,0.48,0.0582,16952033280.0,53398038
ICLN,0.46,0.013000000000000001,2502674688.0,6007685
IEF,0.15,0.0385,48474525696.0,9808177
INDA,0.59,0.0,6592828928.0,8930556
ITA,0.39,0.49,13564854272.0,1191570
IVW,0.18,0.38,70348242944.0,4326553
IWD,0.19,0.0155,74264879104.0,3226417
IWF,0.19,0.35,124668968960.0,11055556
IWM,0.0,1.02,71.915577344,44091987
JETS,0.6,0.92,738243584.0,4908106
KRE,0.35,0.0225,4165366016.0,17696095
LQD,0.0,4.52,28.883736576,42238204
MCHI,0.59,0.022099999999999998,6746261504.0,3770714
MGK,0.11,0.34,32032651264.0,2169733
MUB,0.07,0.0317,43712274432.0,3621656
NOBL,0.35,0.0209,11303097344.0,725295
QQQ,0.0,0.49,372.507312128,65077954
SCHD,0.0,3.44,84.820000768,24344574
SHY,0.15,0.037200000000000004,25083643904.0,4867754
SLV,0.0,0.0,35.677335552,85306038
SOXX,0.35,0.36,29566459904.0,7527864
SPY,0.0,1.14,651.588272128,86667838
SUSA,0.25,0.88,3824761856.0,44429
TLT,0.0,4.49,42.618560512,38874443
VCIT,0.04,0.047400000000000005,68095963136.0,12684708
VEA,0.0,2.94,282.201522176,19684380
VIG,0.0,1.61,117.045436416,1509754
VNQ,0.12,0.0362,69945008128.0,3696830
VOO,0.0,1.19,1421.127057408,10477656
VTI,0.0,1.17,1991.753859072,6072229
VTV,0.04,0.0192,237831766016.0,4009733
VUG,0.04,0.4,365000785920.0,9203093
VWO,0.0,2.71,146.314903552,12407651
VYM,0.06,0.022400000000000003,94628388864.0,1459643
XLE,0.0,2.44,43.603132416,59895740
XLF,0.0,1.6,47.790944256,54407690
XLI,0.0,1.27,28.33483776,13437877
XLK,0.0,0.57,84.198424576,18855591
XLP,0.1,0.0258,14545357824.0,15949330
XLRE,0.1,0.0315,7712990720.0,7566600
XLU,0.1,0.0254,24051787776.0,24667904
XLV,0.0,1.71,38.603882496,13831243
XLY,0.1,0.75,23127506944.0,10046753
