ticker,name,sleeve,asset_class,asset_class_equity
VTI,Vanguard Total Stock Market ETF,total_market,equity,1
VOO,Vanguard S&P 500 ETF,equity_sector,equity,1
SPY,SPDR S&P 500 ETF Trust,equity_sector,equity,1
QQQ,Invesco QQQ Trust,equity_sector,equity,1
IWM,iShares Russell 2000 ETF,small_cap,equity,1
VIG,Vanguard Dividend Appreciation ETF,dividend_etfs,equity,1
SCHD,Schwab U.S. Dividend Equity ETF,dividend_etfs,equity,1
VEA,Vanguard FTSE Developed Markets ETF,em_equity,equity,1
VWO,Vanguard FTSE Emerging Markets ETF,em_equity,equity,1
EEM,iShares MSCI Emerging Markets ETF,em_equity,equity,1
EFA,iShares MSCI EAFE ETF,em_equity,equity,1
XLK,Technology Select Sector SPDR Fund,equity_sector,equity,1
XLF,Financial Select Sector SPDR Fund,equity_sector,equity,1
XLE,Energy Select Sector SPDR Fund,equity_sector,equity,1
XLV,Health Care Select Sector SPDR Fund,equity_sector,equity,1
XLI,Industrial Select Sector SPDR Fund,equity_sector,equity,1
BND,Vanguard Total Bond Market ETF,govt_bonds_intermediate,bond,0
AGG,iShares Core U.S. Aggregate Bond ETF,govt_bonds_intermediate,bond,0
TLT,iShares 20+ Year Treasury Bond ETF,govt_bonds_long,bond,0
LQD,iShares iBoxx Investment Grade Corporate Bond ETF,ig_corp_bonds,bond,0
GLD,SPDR Gold Shares,precious_metals,commodity,0
SLV,iShares Silver Trust,precious_metals,commodity,0
ESGU,iShares ESG Aware MSCI USA ETF,equity_sector,equity,1
XLP,Consumer Staples Select Sector SPDR,consumer_staples,equity,1
XLY,Consumer Discretionary Select Sector SPDR,consumer_discretionary,equity,1
XLU,Utilities Select Sector SPDR,utilities,equity,1
XLRE,Real Estate Select Sector SPDR,real_estate,equity,1
SOXX,VanEck Semiconductor ETF,technology,equity,1
KRE,Regional Bank Select Sector SPDR,financials,equity,1
ITA,iShares U.S. Aerospace & Defense,industrials,equity,1
FXI,iShares China Large-Cap ETF,em_equity,equity,1
MCHI,iShares MSCI China ETF,em_equity,equity,1
INDA,iShares MSCI India ETF,em_equity,equity,1
EWJ,iShares MSCI Japan ETF,intl_equity,equity,1
EWG,iShares MSCI Germany ETF,intl_equity,equity,1
EWZ,iShares MSCI Brazil ETF,em_equity,equity,1
SHY,iShares 1-3 Year Treasury Bond,govt_bonds_short,bond,0
IEF,iShares 7-10 Year Treasury Bond,govt_bonds_intermediate,bond,0
MUB,iShares National Muni Bond,muni_bonds,bond,0
EMB,iShares J.P. Morgan USD Emerging Markets Bond,em_bonds,bond,0
HYG,iShares iBoxx High Yield Corporate Bond,hy_bonds,bond,0
BNDX,Vanguard Total International Bond,intl_bonds,bond,0
VCIT,Vanguard Intermediate-Term Corporate Bond,ig_corp_bonds,bond,0
VYM,Vanguard High Dividend Yield ETF,dividend_etfs,equity,1
HDV,iShares Core High Dividend,dividend_etfs,equity,1
DVY,iShares Select Dividend,dividend_etfs,equity,1
NOBL,ProShares S&P 500 Dividend Aristocrats,dividend_etfs,equity,1
VTV,Vanguard Value ETF,dividend_etfs,equity,1
IWD,iShares Russell 1000 Value,dividend_etfs,equity,1
MGK,Vanguard Mega Cap Growth ETF,growth_etfs,equity,1
VUG,Vanguard Growth ETF,growth_etfs,equity,1
IWF,iShares Russell 1000 Growth,growth_etfs,equity,1
IVW,iShares S&P 500 Growth,growth_etfs,equity,1
ARKK,ARK Innovation ETF,thematic,equity,1
ICLN,iShares Global Clean Energy,thematic,equity,1
JETS,U.S. Global Jets ETF,thematic,equity,1
CIBR,ETFMG Prime Cyber Security,thematic,equity,1
ESGV,iShares ESG Aware MSCI USA Small-Cap,esg_etfs,equity,1
SUSA,iShares MSCI USA ESG Select,esg_etfs,equity,1
ESGD,iShares MSCI EAFE ESG Focused,esg_etfs,equity,1
VNQ,Vanguard Real Estate ETF,reit,real_estate,0
