ticker|name|expense_ratio|dividend_yield|aum_b|avg_volume|us_pct|china_pct|europe_pct|japan_pct|emerging_pct|tech_pct|finance_pct|healthcare_pct|energy_pct|consumer_pct|industrial_pct|materials_pct|other_pct|top_holdings
AGG|iShares Core U.S. Aggregate Bond ETF|0.03|3.95|135.366|9780390|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|BISXX
ARKK|ARK Innovation ETF|0.75|0.0|6.482|10039438|100.0|0.0|0.0|0.0|0.0|26.4|15.4|27.5|0.0|13.7|6.3|0.0|10.9|TSLA TEM AMD CRSP SHOP
BND|Vanguard Total Bond Market Index Fund|0.03|3.93|389.703|8506482|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|BND
BNDX|Vanguard Total International Bond Index Fund|0.07|4.47|117.95|5030396|100.0|0.0|0.0|0.0|0.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|BNDX
CIBR|First Trust NASDAQ Cybersecurity ETF|0.58|0.61|10.193|1686101|100.0|0.0|0.0|0.0|0.0|94.0|0.0|0.0|0.0|0.0|3.5|0.0|2.6|AVGO PANW CRWD CSCO FTNT
DVY|iShares Select Dividend ETF|0.38|3.38|22.857|433943|100.0|0.0|0.0|0.0|0.0|3.4|24.9|5.0|9.1|22.9|2.1|2.3|30.2|MO PFE TROW VZ PRU
EEM|iShares MSCI Emerging Markets ETF|0.72|1.91|28.105|38561564|100.0|0.0|0.0|0.0|0.0|36.9|19.5|2.9|4.1|12.5|7.5|6.5|10.1|2330.TW 005930.KS 000660.KS 0700.HK 9988.HK
EFA|iShares MSCI EAFE ETF|0.32|3.17|75.609|21033085|100.0|0.0|0.0|0.0|0.0|10.4|24.6|10.6|4.0|14.3|19.9|5.9|10.4|ASML.AS HSBA.L AZN.L ROP.SW NOVN.SW
EMB|iShares J.P. Morgan USD Emerging Markets Bond ETF|0.39|5.06|14.508|10151693|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|XTSLA
ESGD|iShares ESG Aware MSCI EAFE ETF|0.2|3.39|11.319|362916|100.0|0.0|0.0|0.0|0.0|11.7|26.4|10.3|3.9|14.0|19.2|4.6|9.9|ASML.AS NOVN.SW HSBA.L SIE.DE ROP.SW
ESGU|iShares ESG Aware MSCI USA ETF|0.15|0.97|16.584|533317|100.0|0.0|0.0|0.0|0.0|36.5|12.0|8.7|3.8|14.0|8.5|1.8|14.7|NVDA AAPL GOOG MSFT AMZN
ESGV|Vanguard ESG U.S. Stock ETF|0.09|0.9|12.475|234377|100.0|0.0|0.0|0.0|0.0|37.6|12.8|11.0|0.0|16.6|4.5|2.0|15.5|NVDA AAPL MSFT AMZN GOOGL
EWG|iShares MSCI Germany ETF|0.49|1.61|1.447|2357200|100.0|0.0|0.0|0.0|0.0|13.8|21.6|6.1|0.0|9.6|30.3|5.8|12.8|SIE.DE SAP.DE ALV.DE ENR.DE DTE.DE
EWJ|iShares MSCI Japan ETF|0.49|4.08|20.976|9116382|100.0|0.0|0.0|0.0|0.0|19.1|17.5|6.3|1.1|15.8|26.0|3.0|11.3|8306.T 7203.T 6501.T 6857.T 8316.T
EWZ|iShares MSCI Brazil ETF|0.59|4.16|11.568|33599193|100.0|0.0|0.0|0.0|0.0|0.9|32.7|2.4|18.5|5.7|10.9|13.7|15.1|VALE3.SA NU ITUB4 PETR4 PETR3.SA
