,country_exposure,sector_exposure,expense_ratio,volatility_252d,momentum_126d,liquidity,yield,corr_to_spy
AGG,0.329206,-0.387864,-0.825225,-1.296091,-0.747855,-0.322242,2.451532,0.258505
ARKK,0.329206,2.026392,2.580094,2.156507,1.957764,-0.493869,-0.710948,-0.478202
BND,0.329206,-0.387864,-0.825225,-1.303191,-0.745744,-0.453947,2.435438,0.170912
BNDX,0.329206,-0.387864,-0.466052,-1.316559,-0.426352,-0.493869,-0.674978,-1.031880
CIBR,0.329206,3.474946,1.898121,0.376128,0.333766,-0.493869,-0.220079,-0.399248
DVY,0.329206,-0.387864,0.897894,-0.370240,0.207412,-0.493869,-0.683749,-0.683506
EEM,0.329206,-0.387864,-0.825225,0.248397,1.036589,2.079214,1.027209,1.416097
EFA,0.329206,-0.387864,-0.825225,-0.169929,0.398931,0.281020,1.984804,1.478145
EMB,0.329206,-0.387864,0.943359,-0.952052,-0.409564,-0.493869,-0.670230,-0.811526
ESGD,0.329206,-0.387864,0.079526,-0.319625,-1.066408,-0.493869,-0.683668,-0.607975
ESGU,0.329206,-0.387864,-0.825225,-0.266997,-0.201587,-0.338478,0.150084,2.018577
ESGV,0.329206,1.060690,-0.056868,-0.216783,0.039655,-0.493869,0.013284,-0.275015
EWG,-3.133129,-0.387864,1.443472,-0.137902,-0.498676,-0.493869,-0.697992,-0.565111
EWJ,-3.133129,-0.387864,1.443472,0.185527,-0.791544,-0.493869,-0.678116,-0.599371
EWZ,-3.133129,-0.387864,1.761726,0.667254,-2.067737,-0.493869,-0.677472,-0.518855
FXI,-3.133129,-0.387864,2.534629,1.860772,0.919488,-0.493869,-0.690669,-1.175328
GLD,0.329206,-0.387864,-0.825225,1.238066,0.583028,0.664231,-0.710948,-0.071707
HDV,0.329206,-0.387864,-0.466052,-0.663412,-0.372377,-0.493869,-0.687772,-0.808215
HYG,0.329206,-0.387864,1.352543,-1.248328,-0.318413,-0.493869,-0.664114,-0.759814
ICLN,0.329206,-0.387864,1.261613,0.822311,-2.110412,-0.493869,-0.700487,-0.867687
IEF,0.329206,-0.387864,-0.147798,-1.000665,-0.679632,-0.493869,-0.679967,-1.032649
INDA,-2.440662,-0.387864,1.852656,-0.208505,-1.381800,-0.493869,-0.710948,-0.500085
ITA,0.329206,2.509244,0.943359,-0.017375,0.215131,-0.493869,-0.316644,-0.543743
IVW,0.329206,-0.387864,-0.011403,0.175662,0.113736,-0.493869,-0.405161,-0.196290
IWD,0.329206,-0.387864,0.034061,-0.533759,-0.125352,-0.493869,-0.698475,-0.534785
IWF,0.329206,-0.387864,0.034061,0.155541,0.136764,-0.493869,-0.429302,-0.205858
IWM,0.329206,-0.387864,-0.825225,0.405795,0.167738,3.297099,0.109848,1.607225
JETS,0.329206,-0.387864,1.898121,0.980955,2.102657,-0.493869,0.029378,-0.334780
KRE,0.329206,2.992095,0.761499,1.482667,1.550029,-0.493869,-0.692842,-0.559127
LQD,0.329206,-0.387864,-0.825225,-1.111026,-0.812677,3.114021,2.926306,0.562345
MCHI,-3.133129,-0.387864,1.852656,1.735247,0.373451,-0.493869,-0.693164,-1.159326
MGK,0.329206,-0.387864,-0.329658,0.206384,0.069339,-0.493869,-0.437349,-0.195905
MUB,0.329206,-0.387864,-0.511517,-1.315020,-0.665729,-0.493869,-0.685439,-1.149344
NOBL,0.329206,-0.387864,0.761499,-0.610506,-0.334413,-0.493869,-0.694129,-0.719447
QQQ,0.329206,-0.387864,-0.825225,0.096060,-0.089739,2.047654,-0.316644,1.917996
SCHD,0.329206,-0.387864,-0.825225,-0.461876,0.868497,-0.294059,2.057228,0.332353
SHY,0.329206,-0.387864,-0.147798,-1.541020,-0.583201,-0.493869,-0.681013,-0.870527
SLV,0.329206,-0.387864,-0.825225,4.437908,4.114685,3.453364,-0.710948,0.116516
SOXX,0.329206,3.474946,0.761499,2.026176,-1.944950,-0.493869,-0.421255,-0.416784
SPY,0.329206,-0.387864,-0.825225,-0.306928,-0.151318,1.623904,0.206413,2.026625
SUSA,0.329206,1.060690,0.306851,-0.343923,0.055333,-0.493869,-0.002810,-0.352309
TLT,0.329206,-0.387864,-0.825225,-0.599202,-1.021448,1.286806,2.902165,-0.057075
VCIT,0.329206,-0.387864,-0.647912,-1.148461,-0.496614,-0.493869,-0.672805,-0.970806
VEA,0.329206,-0.387864,-0.825225,-0.140054,0.803063,-0.384974,1.654877,1.498097
VIG,0.329206,-0.387864,-0.825225,-0.519250,-0.316363,-0.428087,0.584623,1.710443
VNQ,0.329206,-0.387864,-0.284193,0.018280,-0.056257,-0.493869,-0.681818,-0.765726
VOO,0.329206,-0.387864,-0.825225,-0.311060,-0.148060,-0.385962,0.246648,2.026128
VTI,0.329206,-0.387864,-0.825225,-0.274519,-0.149914,-0.469909,0.230554,2.017103
VTV,0.329206,-0.387864,-0.647912,-0.597557,-0.193041,-0.493869,-0.695497,-0.541126
VUG,0.329206,-0.387864,-0.647912,0.157801,0.119446,-0.493869,-0.389067,-0.205131
VWO,0.329206,-0.387864,-0.825225,-0.067656,0.199571,-0.381350,1.469795,1.472474
VYM,0.329206,-0.387864,-0.556982,-0.549769,0.016546,-0.493869,-0.692922,-0.555660
XLE,0.329206,-0.387864,-0.825225,0.446702,1.938751,1.200662,1.252525,-1.004549
XLF,0.329206,-0.387864,-0.825225,-0.070540,-0.913646,0.844405,0.576576,1.117387
XLI,0.329206,-0.387864,-0.825225,-0.057719,0.516744,1.351083,0.311024,1.406833
XLK,0.329206,-0.387864,-0.825225,0.537641,-0.007744,0.281116,-0.252268,1.771441
XLP,0.329206,1.060690,-0.375122,-0.667234,-0.433051,-0.493869,-0.690186,-0.923005
XLRE,0.329206,-0.387864,-0.375122,0.036371,-0.094774,-0.493869,-0.685600,-0.806083
XLU,0.329206,-0.387864,-0.375122,-0.049177,0.444197,-0.493869,-0.690508,-0.885648
XLV,0.329206,-0.387864,-0.825225,0.012457,-0.352013,0.701450,0.665093,0.574003
XLY,0.329206,2.509244,-0.375122,0.297304,1.426096,-0.493869,-0.107421,-0.359997
