,umap_x,umap_y,cluster
AGG,14.905051,7.970568,1
ARKK,14.155326,-1.126353,3
BND,14.887217,7.980398,1
BNDX,16.872765,-2.750997,2
CIBR,14.187386,-0.500311,3
DVY,15.139785,-2.335194,2
EEM,14.494321,6.079582,1
EFA,14.523484,7.563124,1
EMB,15.571365,-2.942837,2
ESGD,15.964516,-2.732504,2
ESGU,13.721657,7.150182,1
ESGV,14.837227,-0.884368,2
EWG,14.356367,-3.680694,0
EWJ,14.164968,-3.91218,0
EWZ,13.987957,-3.839531,0
FXI,13.976653,-3.247718,0
GLD,16.071571,-0.76753,4
HDV,16.39523,-2.344774,2
HYG,15.69626,-3.122565,2
ICLN,15.326445,-2.819648,2
IEF,16.571207,-2.966562,2
INDA,14.123116,-4.034575,0
ITA,14.380691,-0.807258,3
IVW,15.547899,-1.464898,2
IWD,15.942469,-2.100903,2
IWF,15.421076,-1.59774,2
IWM,14.728617,6.220822,1
JETS,14.742147,-1.779079,4
KRE,13.880008,-0.730698,3
LQD,15.151973,7.417032,1
MCHI,14.199724,-3.459062,0
MGK,15.739817,-1.048345,2
MUB,16.687368,-2.999999,2
NOBL,15.51998,-2.488436,2
QQQ,14.55762,6.358422,1
SCHD,14.453522,7.917859,1
SHY,16.93946,-3.197026,2
SLV,14.386581,5.452095,4
SOXX,14.42398,-0.695225,3
SPY,14.472165,6.634044,1
SUSA,14.648499,-1.172485,2
TLT,15.144711,7.786337,1
VCIT,16.639051,-2.65378,2
VEA,14.114825,7.800611,1
VIG,13.879201,7.360066,1
VNQ,15.90379,-1.721233,2
VOO,13.976095,7.205746,1
VTI,14.015547,7.041032,1
VTV,16.345257,-1.853828,2
VUG,16.200087,-1.093382,2
VWO,14.204227,7.584783,1
VYM,16.575766,-1.984719,2
XLE,14.578897,5.607646,4
XLF,14.963682,6.975444,1
XLI,14.722649,6.559718,1
XLK,13.999771,6.723088,1
XLP,14.958982,-1.140964,2
XLRE,16.370535,-1.466497,2
XLU,16.02797,-1.363973,2
XLV,14.684028,7.075351,1
XLY,13.805414,-0.92634,3
